;;;;;;;;;;;;;;;;;;;
MM_transpuesta_Estud1;;;;;MM_transpuesta_Estud2;;;;;MM_transpuesta_Estud3;;;;;;;;;
;Hilos;;;;;Hilos;;;;;Hilos;;;;;;;;
Tam;1 H;2 H;4 H;;Tam;1 H;2 H;4 H;;Tam;1 H;2 H;4 H;;;;;;
;22858214;12069069;7182099;;;22521129;11555346;5621451;;;22665979;12523908;7204324;;;;;;
;23972366;11947636;6591135;;;22313960;11547226;6182563;;;23234723;12069627;6689303;;;;;;
;23674863;12726917;7001732;;;22200685;11533269;5702910;;;22692263;11390634;7496080;;;;;;
;23878548;13319622;6932503;;;22015648;11533140;6229568;;;23272931;11583450;7160842;;;;;;
;24742377;12204208;7297984;;;21914035;11475688;5751449;;;22832116;11845904;6536959;;;;;;
;24470472;12153193;6742584;;;22808886;11470577;6285419;;;23375846;12360103;7007529;;;;;;
;23023777;12440838;7143627;;;22634414;11405330;5825284;;;22901718;11551541;6757356;;;;;;
;22745374;12957092;6382133;;;22569972;11384300;6372727;;;23499193;11732673;7262879;;;;;;
;24037067;12708843;6716864;;;22378619;11400004;5885517;;;23014234;11953243;6768518;;;;;;
;24669640;12445318;7179092;;;22234640;11386716;6397280;;;22699635;12103250;7215641;;;;;;
;24137481;12299055;7332272;;;22031197;11315986;5940730;;;23409646;11325075;6491463;;;;;;
;24584906;12138287;6738867;;;21971073;11296544;6485636;;;23262467;11503055;7838580;;;;;;
;23583396;11958843;7206306;;;21933059;11372667;6048845;;;23066256;11813668;7203261;;;;;;
;23952341;13611534;6494847;;;22798810;11459386;5555017;;;22912254;12011789;6698021;;;;;;
;24544323;12343234;7544565;;;21224321;11534323;6457343;;;23655231;11353632;7457542;;;;;;
Promedio;23547782,26;12488117,29;6913714,71;;Promedio;22333004,1;11539972,13;6012318,032;;Promedio;22967759,23;11886737,61;6938646,774;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
MM_transpuesta_Estud1;;;;;MM_transpuesta_Estud2;;;;;MM_transpuesta_Estud3;;;;;;;;;
;Hilos;;;;;Hilos;;;;;Hilos;;;;;;;;
Tam;1 H;2 H;4 H;;Tam;1 H;2 H;4 H;;Tam;1 H;2 H;4 H;;;;;;
2200;31292332;15957420;8833053;;2200;29919817;15339206;7790903;;2200;30528696;15520164;8645335;;;;;;
;29596766;17221764;10364864;;;30166670;15067321;8271660;;;30346843;15500689;9076029;;;;;;
;34058473;16693084;8459030;;;29624651;14962913;7732650;;;30230398;15496131;8377991;;;;;;
;30019035;16152595;8751256;;;29927905;14664409;8142440;;;29922998;15500739;9496300;;;;;;
;30111755;15475047;8939775;;;30209518;15428708;7550900;;;30846078;15564053;8825237;;;;;;
;29864634;15926500;9568135;;;29506541;15157251;7976548;;;30649549;15617721;9429841;;;;;;
;30745689;16382903;9501072;;;29935575;14926401;7411098;;;30475761;15491262;8680015;;;;;;
;30808865;16687169;9532117;;;30231737;15626814;7829408;;;30307653;15482815;8955783;;;;;;
;31256238;16104149;8791003;;;29574257;15364047;8250707;;;30218431;15523071;9940836;;;;;;
;30473209;15273838;8893926;;;29949239;15038946;7692037;;;29856821;15522396;10556280;;;;;;
;31356190;15747512;9465121;;;31207133;14815725;8139111;;;30721330;15548309;9218877;;;;;;
